"Mean","SD","NBeads"
1678,380,16
2885,466,23
6074,1051,9
429,190,9
11227,339,7
570,257,16
2182,380,11
11105,1301,9
7795,1031,18
14495,1203,6
7678,848,10
10079,775,14
4242,548,6
272,140,11
105,64,13
12676,1301,16
444,249,15
219,144,10
1873,461,12
686,310,9
590,247,13
2908,241,7
4295,779,6
316,202,13
632,211,18
5841,754,13
1204,346,13
5984,1135,13
5937,690,14
9090,870,16
326,196,8
9214,731,11
619,283,16
16415,1944,18
732,313,18
1443,284,10
14588,1391,14
1481,270,12
411,173,12
1776,369,21
731,198,8
1653,549,25
378,232,21
3079,447,20
594,230,10
9797,1205,15
7081,681,14
8776,623,10
4104,117,4
370,126,6
604,264,9
437,252,11
236,189,14
535,269,12
6377,1176,12
2837,648,21
1036,286,15
3078,691,12
2139,442,11
659,372,13
8376,732,10
1368,315,15
232,196,4
571,298,16
3031,603,10
145,119,13
486,177,15
330,198,11
4401,459,11
1187,416,15
11729,1308,18
687,221,13
3280,669,13
402,170,11
227,108,10
10533,938,17
525,188,17
2112,433,15
9955,1208,20
